English,Romanian
say,Spune
they,ei
this,acest
but,dar
at,la
we,noi
his,a lui
from,din
that,acea
not,nu
n't,n't
by,de
or,sau
she,ea
as,la fel de
what,ce
go,merge
their,al lor
will,voi
who,OMS
can,poate sa
get,obține
if,dacă
all,toate
would,ar
her,a ei
make,face
about,despre
my,Ale mele
know,Cunoaște
as,la fel de
there,Acolo
one,unu
up,sus
time,timp
year,an
so,asa de
think,gândi
see,vedea
which,care
when,când
some,niste
them,lor
people,oameni
take,lua
me,pe mine
out,afară
into,în
just,doar
him,#NAME?
come,vino
your,ta
now,acum
could,ar putea
than,decât
like,ca
other,alte
then,apoi
how,Cum
its,este
two,Două
our,al nostru
more,Mai mult
these,aceste
want,vrei
way,cale
no,Nu
look,uite
first,primul
also,de asemenea
new,nou
because,deoarece
day,zi
more,Mai mult
use,utilizare
man,om
here,Aici
find,găsi
give,da
thing,lucru
well,bine
many,mulți
only,numai
those,acestea
tell,spune
very,foarte
one,unu
even,chiar
her,a ei
back,înapoi
any,orice
good,bun
us,ne
through,prin
woman,femeie
life,viaţă
child,copil
there,Acolo
down,jos
work,muncă
after,după
call,apel
may,Mai
world,lume
over,peste
should,ar trebui să
still,încă
try,încerca
in,în
school,şcoală
as,la fel de
last,ultimul
ask,cere
too,de asemenea
need,nevoie
three,Trei
feel,simți
when,când
become,deveni
state,stat
never,nu
between,între
high,înalt
something,ceva
really,într-adevăr
most,cel mai
another,o alta
much,mult
own,propriu
family,familie
out,afară
house,casă
leave,părăsi
put,a pune
old,vechi
on,pe
while,in timp ce
mean,Rău
let,lăsa
why,De ce
president,președinte
keep,a pastra
same,la fel
great,Grozav
begin,ÎNCEPE
big,mare
seem,par
group,grup
country,țară
talk,vorbi
problem,problemă
where,Unde
turn,rotiți
student,student
every,fiecare
hand,mână
help,Ajutor
against,împotriva
start,start
American,american
part,parte
show,spectacol
about,despre
over,peste
might,ar putea
such,astfel de
place,loc
again,din nou
city,oraș
case,caz
most,cel mai
few,puțini
system,sistem
week,săptămână
where,Unde
company,companie
each,fiecare
percent,la sută
hear,auzi
so,asa de
during,pe parcursul
question,întrebare
right,dreapta
program,program
work,muncă
run,alerga
number,număr
small,mic
government,guvern
play,Joaca
off,OFF
move,mutare
like,ca
always,mereu
night,noapte
believe,crede
today,astăzi
hold,ține
point,punct
live,Trăi
happen,întâmpla
bring,aduce
next,Următorul
without,fără
before,inainte de
large,mare
must,trebuie sa
all,toate
war,război
home,Acasă
under,sub
room,cameră
fact,fapt
area,zonă
national,naţional
write,scrie
money,bani
right,dreapta
story,poveste
water,apă
mother,mamă
different,diferit
young,tineri
month,lună
lot,lot
book,carte
eye,ochi
study,studiu
job,loc de munca
kind,drăguț
word,cuvânt
issue,problema
side,latură
four,Patru
business,Afaceri
though,deşi
head,cap
far,departe
long,lung
black,negru
million,milion
both,ambii
little,puțin
yes,da
after,după
since,de cand
around,în jurul
long,lung
provide,furnizați
service,serviciu
important,important
sit,sta
away,departe
friend,prieten
however,in orice caz
power,putere
no,Nu
yet,inca
father,Tată
hour,ora
often,de multe ori
until,pana cand
political,politic
line,linia
end,Sfârşit
stand,stand
among,printre
game,joc
ever,vreodată
lose,pierde
bad,rău
member,membru
meet,întâlni
pay,a plati
law,lege
almost,aproape
car,mașină
later,mai tarziu
much,mult
name,Nume
include,include
five,cinci
center,centru
once,o singura data
university,universitate
continue,continua
least,cel mai puţin
real,real
white,alb
change,Schimbare
set,a stabilit
several,Câteva
ago,în urmă
information,informație
nothing,nimic
community,comunitate
best,Cel mai bun
right,dreapta
idea,idee
lead,conduce
body,corp
learn,învăța
kid,copil
minute,minut
table,masa
whether,dacă
understand,a intelege
team,echipă
back,înapoi
watch,ceas
together,împreună
follow,urma
around,în jurul
only,numai
stop,Stop
face,față
anything,orice
public,public
social,social
already,deja
parent,mamă
speak,vorbi
create,crea
office,birou
allow,permite
level,nivel
read,citit
spend,petrece
person,persoană
door,uşă
sure,sigur
add,adăuga
street,stradă
such,astfel de
history,istorie
party,parte
grow,se dezvolta
reason,motiv
morning,dimineaţă
open,deschis
within,în
change,Schimbare
although,cu toate că
walk,mers pe jos
news,știri
health,sănătate
court,Curte
force,forta
early,din timp
himself,se
air,aer
low,scăzut
before,inainte de
art,artă
result,rezultat
moment,moment
offer,oferi
both,ambii
remember,tine minte
research,cercetare
enough,suficient
girl,fată
boy,băiat
win,victorie
food,alimente
across,peste
guy,tip
second,al doilea
able,in stare
toward,spre
maybe,poate
process,proces
off,OFF
everything,Tot
appear,apărea
age,vârstă
policy,politică
consider,considera
including,inclusiv
probably,probabil
education,educaţie
love,dragoste
actually,de fapt
buy,Cumpără
wait,aștepta
die,a muri
human,uman
send,trimite
fee,taxă
expect,aştepta
serve,servi
sense,sens
teacher,profesor
home,Acasă
market,piaţă
stay,stau
build,construi
nation,naţiune
fall,toamna
oh,Oh
death,moarte
plan,plan
interest,interes
someone,cineva
experience,experienţă
cut,a tăia
kill,ucide
behind,in spate
reach,a ajunge
six,şase
local,local
remain,rămâne
effect,efect
suggest,sugera
use,utilizare
control,Control
perhaps,poate
raise,a ridica
class,clasă
late,târziu
little,puțin
major,major
yeah,Da
else,altfel
pass,trece
photo,fotografie
sell,vinde
themselves,înșiși
field,camp
college,colegiu
sometimes,uneori
former,fost
development,dezvoltare
require,necesită
along,de -a lungul
decide,decide
security,Securitate
up,sus
possible,posibil
effort,efort
role,rol
better,mai bine
rate,rată
strong,puternic
music,muzică
report,raport
leader,lider
light,ușoară
whole,întreg
voice,voce
color,culoare
heart,Inima
care,îngrijire
police,politie
economic,economic
wife,soție
show,spectacol
mind,minte
report,raport
finally,in cele din urma
drug,medicament
less,Mai puțin
return,întoarcere
according,in conformitate
pull,Trage
decision,decizie
explain,explica
carry,transporta
develop,dezvolta
view,vedere
free,gratuit
hope,speranţă
even,chiar
drive,conduce
son,fiule
arm,braţ
department,departament
TRUE,ADEVĂRAT
price,Preț
military,militar
federal,federal
break,pauză
action,acțiune
value,valoare
thank,Mulțumesc
relationship,relaţie
town,oraș
better,mai bine
building,clădire
receive,a primi
society,societate
difference,diferență
church,biserică
full,deplin
join,a te alatura
road,drum
because,deoarece
international,internaţional
model,model
position,poziţie
tax,impozit
director,director
early,din timp
agree,de acord
matter,chestiune
especially,mai ales
form,formă
record,record
special,special
ground,sol
whose,a caror
hard,greu
pick,alege
paper,hârtie
official,oficial
season,sezon
wear,purta
event,eveniment
support,a sustine
space,spaţiu
player,jucător
everyone,toata lumea
couple,cuplu
end,Sfârşit
base,baza
project,proiect
produce,legume şi fructe
site,site
situation,situatie
hit,lovit
industry,industrie
half,jumătate
activity,activitate
American,american
eat,mânca
itself,în sine
need,nevoie
figure,figura
cost,cost
easy,uşor
quite,destul de
face,față
picture,imagine
clear,clar
cover,acoperi
describe,descrie
image,imagine
teach,a preda
wall,perete
doctor,doctor
recent,Recent
product,produs
data,date
practice,practică
phone,telefon
piece,bucată
certain,anumit
either,fie
oil,ulei
simply,pur şi simplu
test,Test
personal,personal
star,stea
land,teren
third,al treilea
general,general
computer,calculator
movie,film
worker,muncitor
open,deschis
catch,captură
type,tip
support,a sustine
north,Nord
love,dragoste
step,Etapa
attention,Atenţie
technology,tehnologie
organization,organizare
baby,bebelus
source,sursă
draw,a desena
cause,cauză
tree,copac
film,film
choose,alege
evidence,dovezi
Republican,Republican
difficult,dificil
century,secol
nearly,aproape
red,roșu
look,uite
point,punct
window,fereastră
park,parc
period,perioadă
culture,cultură
hair,păr
listen,asculta
chance,şansă
less,Mai puțin
available,disponibil
brother,frate
summer,vară
realize,realizează
private,privat
no,Nu
science,ştiinţă
letter,scrisoare
congress,congres
condition,condiție
short,mic de statura
likely,probabil
opportunity,oportunitate
rule,regulă
choice,alegere
single,singur
place,loc
patient,rabdator
floor,podea
term,termen
material,material
mile,mile
administration,administrare
well,bine
course,curs
defense,apărare
plant,plantă
energy,energie
campaign,campanie
population,populație
fire,foc
close,închide
daughter,fiică
involve,implica
husband,soț
wrong,gresit
certainly,cu siguranță
increase,crește
future,viitor
south,sud
medical,medical
call,apel
board,bord
anyone,oricine
deal,afacere
hospital,spital
rest,odihnă
seek,căuta
myself,eu insumi
county,județ
fight,luptă
subject,subiect
risk,risc
order,Ordin
west,Vest
economy,economie
quickly,repede
throw,arunca
bed,pat
officer,ofiţer
represent,reprezinta
soon,curând
top,top
fill,completati
author,autor
past,trecut
upon,peste
goal,poartă
behavior,comportament
drop,cădere brusca
nature,natură
agency,agenţie
plan,plan
recently,recent
second,al doilea
store,magazin
foreign,străin
current,actual
performance,performanţă
bank,bancă
sound,sunet
push,Apăsaţi
focus,Concentrați -vă
reduce,reduce
note,Notă
before,inainte de
fine,amenda
near,aproape
than,decât
movement,circulaţie
common,uzual
other,alte
billion,miliard
blood,sânge
page,pagină
concern,îngrijorare
poor,sărac
enter,introduce
share,acțiune
each,fiecare
series,serie
usually,de obicei
natural,natural
hot,Fierbinte
race,rasă
language,limba
river,râu
dead,mort
act,act
significant,semnificativ
no,Nu
response,raspuns
rise,creştere
decade,deceniu
article,articol
thus,prin urmare
seven,Șapte
shoot,trage
east,Est
animal,animal
away,departe
similar,similar
save,Salvați
factor,factor
central,central
occur,apar
committee,comitet
serious,serios
sport,sport
lie,minciună
beyond,dincolo
exactly,exact
despite,în ciuda
happy,fericit
eight,opt
protect,proteja
list,listă
size,mărimea
quality,calitate
pressure,presiune
accept,Accept
ready,gata
approach,abordare
sign,semn
attack,atac
individual,individual
career,Carieră
answer,Răspuns
dog,câine
media,mass-media
thought,gând
whatever,tot ceea ce
determine,a determina
television,televiziune
meeting,întâlnire
scene,scenă
success,succes
prepare,a pregati
identify,identifica
press,presa
particularly,în special
resource,resursă
amount,Cantitate
argue,argumenta
recognize,recunoaşte
treatment,tratament
left,stânga
degree,grad
stock,stoc
indicate,indica
growth,creştere
simple,simplu
ability,capacitate
dollar,dolar
union,uniune
disease,boală
everybody,toata lumea
wonder,mirare
election,Alegeri
loss,pierderi
box,cutie
deal,afacere
herself,se
fund,fond
miss,Domnișoară
pretty,frumos
region,regiune
feeling,sentiment
lay,lay
training,Instruire
message,mesaj
arrive,ajunge
standard,standard
outside,in afara
fail,eșuează
trade,comerț
staff,personal
benefit,beneficiu
character,caracter
army,armată
association,asociere
operation,Operațiune
present,prezent
crime,crimă
name,Nume
cup,ceașcă
island,insulă
analysis,analiză
check,Verifica
answer,Răspuns
photograph,fotografie
glass,sticlă
forward,redirecţiona
authority,autoritate
earth,Pământ
stage,etapă
one,unu
act,act
sort,fel
station,statie
clearly,clar
little,puțin
compare,comparaţie
indeed,intr-adevar
public,public
knowledge,cunoştinţe
state,stat
blue,albastru
example,exemplu
strategy,strategie
mountain,Munte
guess,ghici
sister,sora
force,forta
gun,armă
various,variat
laugh,a rade
environment,mediu inconjurator
design,proiecta
sun,soare
lawyer,avocat
sex,sex
rather,mai degraba
artist,artist
club,club
prove,dovedi
section,secțiune
skill,abilitate
truth,adevăr
set,a stabilit
ok,O.K
manager,administrator
executive,executiv
district,district
claim,Revendicare
forget,a uita
hang,atârna
entire,întreg
leg,picior
enough,suficient
design,proiecta
close,închide
study,studiu
since,de cand
environmental,de mediu
establish,a stabili
democratic,democratic
remove,elimina
main,principal
professor,Profesor
financial,financiar
enjoy,Bucurați -vă
network,reţea
sound,sunet
discuss,discuta
form,formă
final,final
trial,proces
legal,legal
help,Ajutor
cold,rece
above,de mai sus
rock,Rock
that,acea
seat,scaun
weapon,armă
song,cântec
expert,expert
radio,radio
nice,Grozav
avoid,evita
memory,memorie
management,management
charge,încărca
spring,primăvară
card,card
maintain,menţine
theory,teorie
care,îngrijire
visit,vizita
imagine,imagina
finish,finalizarea
statement,afirmație
firm,firmă
huge,imens
respond,răspunde
popular,popular
hard,greu
physical,fizic
talk,vorbi
traditional,tradiţional
contain,conține
peace,pace
green,verde
thanks,Mulțumiri
control,Control
Democrat,Democrat
base,baza
impact,impact
structure,structura
tonight,astă seară
note,Notă
direction,direcţie
fly,a zbura
onto,pe
king,rege
reveal,dezvălui
cell,celulă
religious,religios
ball,minge
particular,special
employee,angajat
head,cap
suddenly,brusc
apply,aplica
shake,scutura
cultural,cultural
chair,scaun
PM,P.M
justice,justiţie
discover,descoperi
measure,măsura
politics,politică
manage,administra
treat,trata
yourself,tu
pain,durere
evening,seară
rather,mai degraba
unit,unitate
affect,a afecta
play,Joaca
production,producție
bit,pic
inside,interior
far,departe
range,gamă
top,top
worry,îngrijorare
perform,a executa
necessary,necesar
conference,conferinţă
individual,individual
candidate,candidat
museum,muzeu
specific,specific
best,Cel mai bun
throughout,de -a lungul
hall,hol
past,trecut
fish,peşte
trip,călătorie
mention,menționare
edge,margine
trouble,necaz
interview,interviu
style,stil
middle,mijloc
cause,cauză
ten,zece
weight,greutate
adult,adult
dream,vis
fear,frică
dark,întuneric
sign,semn
method,metodă
somebody,cineva
magazine,revistă
reflect,Reflectați
heavy,greu
soldier,soldat
property,proprietate
beautiful,frumoasa
writer,scriitor
stuff,chestie
camera,aparat foto
improve,îmbunătăţi
shoulder,umăr
bar,bar
hotel,hotel
instead,in schimb
hill,deal
exist,exista
sea,mare
institution,instituţie
purpose,scop
pattern,model
detail,detaliu
machine,mașinărie
challenge,provocare
owner,proprietar
agent,agent
tough,greu
ahead,înainte
generation,generaţie
commercial,comercial
whom,pe cine
fall,toamna
down,jos
surface,suprafaţă
budget,buget
senator,senator
bag,sac
reality,realitate
editor,editor
tend,tind
address,abordare
civil,civil
step,Etapa
discussion,discuţie
test,Test
mom,mama
violence,violenţă
total,total
skin,piele
heat,căldură
council,consiliu
notice,înștiințare
beat,bate
nor,nici
modern,modern
vote,vot
sing,cânta
cancer,cancer
finger,deget
lake,lac
wish,dori
marriage,căsătorie
victim,victimă
task,sarcină
yard,curte
kitchen,bucătărie
item,articol
responsibility,responsabilitate
mouth,gură
agreement,acord
attorney,avocat
capital,capital
threat,amenințare
smile,zâmbet
gas,gaz
instead,in schimb
positive,pozitiv
track,urmări
investment,investiții
account,cont
break,pauză
rich,bogat
citizen,cetăţean
audience,public
lady,doamnă
dinner,masa de seara
western,occidental
debate,dezbate
consumer,consumator
majority,majoritate
interesting,interesant
prevent,împiedica
travel,voiaj
born,născut
relate,raporta
assume,presupune
none,nici unul
admit,recunoaște
front,față
figure,figura
coach,antrenor
partner,partener
shot,lovitură
scientist,om de stiinta
senior,senior
suffer,suferi
alone,singur
collection,Colectie
successful,de succes
speech,vorbire
eventually,în cele din urmă
key,cheie
mission,misiune
score,Scor
newspaper,ziar
wind,vânt
reform,reforma
concerned,îngrijorat
professional,profesional
relation,relație
troops,trupe
garden,grădină
access,acces
publish,publica
recall,Reamintim
Soviet,sovietic
cost,cost
southern,Sud
senate,senat
opinion,opinie
option,opțiune
judge,judecător
original,original
customer,client
critical,critic
corner,colţ
basic,de bază
income,sursa de venit
directly,direct
own,propriu
release,eliberare
restaurant,restaurant
neighborhood,Cartier
effective,efectiv
labor,muncă
nobody,nimeni
stare,Uită -te
immediately,imediat
achieve,obține
forest,pădure
dad,tata
hurt,rănit
video,video
strike,grevă
safety,Siguranță
absolutely,absolut
therefore,prin urmare
freedom,libertate
version,versiune
like,ca
plane,avion
attitude,atitudine
sexual,sexual
refer,referi
fresh,proaspăt
involved,implicat
powerful,puternic
bird,pasăre
touch,atingere
variety,varietate
deep,adânc
text,text
wide,lat
credit,credit
nine,nouă
sleep,dormi
investigation,anchetă
hope,speranţă
announce,anunță
by,de
completely,complet
vote,vot
conduct,conduce
conflict,conflict
replace,a inlocui
attend,"a se prezenta, frecventa"
participant,participant
argument,argument
object,obiect
please,Vă rog
nuclear,nuclear
sky,cer
along,de -a lungul
afternoon,dupa amiaza
hundred,sută
encourage,a incuraja
perfect,perfect
possibility,posibilitate
turn,rotiți
British,britanic
once,o singura data
examine,examina
conversation,conversaţie
generally,în general
beginning,început
secretary,secretar
experience,experienţă
beach,plajă
safe,sigur
spirit,spirit
weekend,weekend
date,Data
define,defini
feature,caracteristică
global,global
very,foarte
element,element
attempt,"atentat, încercare"
slowly,încet
governor,guvernator
through,prin
concept,concept
sorry,Îmi pare rău
easily,uşor
battle,luptă
league,ligă
camp,tabără
introduce,introduce
status,stare
insurance,asigurare
complete,complet
stick,băț
solution,soluţie
web,web
vision,viziune
stone,piatră
lack,lipsa
driver,conducător auto
normal,normal
truck,camion
minister,ministru
handle,mâner
hole,gaură
front,față
fan,ventilator
spot,loc
crisis,criză
supposed,presupus
refuse,refuza
drink,băutură
researcher,cercetător
tradition,tradiţie
communication,comunicare
distance,distanţă
ship,navă
gain,câştig
express,expres
independent,independent
ice,gheaţă
scale,scară
brain,creier
winter,iarnă
commission,comision
wood,lemn
increase,crește
return,întoarcere
division,Divizia
species,specii
AM,A.M
roll,rulează
hide,ascunde
middle,mijloc
client,client
resident,rezident
contract,contracta
gold,aur
future,viitor
potential,potenţial
presence,prezenţă
institute,institut
screen,ecran
run,alerga
Chinese,chinez
horse,cal
European,european
target,ţintă
willing,dispus
survey,studiu
interested,interesat
chief,şef
crowd,mulțime
prison,închisoare
terms,termeni
obviously,evident
basis,bază
apartment,apartament
farm,fermă
flight,zbor
shape,formă
demand,cerere
strength,putere
village,sat
operate,a functiona
reporter,reporter
share,acțiune
guard,paznic
observe,observa
deliver,livrați
count,numara
inside,interior
advantage,avantaj
wild,sălbatic
previous,anterior
average,in medie
emerge,ieși
contribute,a contribui
leadership,conducere
boat,barcă
facility,facilitate
present,prezent
earn,câştiga
highly,foarte
vehicle,vehicul
pound,livră
tiny,minuscul
understanding,înţelegere
settle,stabilește
unless,dacă nu
tomorrow,Mâine
foundation,fundație
quick,rapid
block,bloc
light,ușoară
reader,cititor
collect,colectarea
guest,oaspete
living,viaţă
tool,instrument
protection,protecţie
fair,corect
additional,adiţional
promote,promova
equipment,echipament
mostly,Mai ales
order,Ordin
painting,pictură
feed,a hrani
principle,principiu
bowl,castron
claim,Revendicare
technique,tehnică
limit,limită
identity,identitate
title,titlu
critic,critic
survive,supravieţui
cry,strigăt
border,frontieră
lift,lift
path,cale
aspect,aspect
marry,căsătoriți -vă
shop,magazin
failure,eșec
ride,plimbare
responsible,responsabil
gather,aduna
jump,a sari
sample,probă
affair,afacere
result,rezultat
worth,in valoare de
fit,potrivi
chairman,preşedinte
until,pana cand
lesson,lecţie
Christmas,Crăciun
insist,insista
anybody,cineva
folk,FOLK
band,grup
ear,ureche
procedure,procedură
associate,asociat
inch,inch
warm,cald
African,african
French,limba franceza
baseball,baseball
demonstrate,demonstra
foot,picior
Christian,creştin
approach,abordare
competition,competiție
measure,măsura
afraid,frică
spread,răspândire
ignore,ignora
soft,moale
annual,anual
wonderful,minunat
threaten,a ameninta
commit,angajează
deny,negat
intelligence,inteligență
regular,regulat
influence,influență
general,general
past,trecut
reaction,reacţie
cross,cruce
master,maestru
suit,costum
blow,a sufla
destroy,distruge
gift,cadou
coffee,cafea
anyway,oricum
belief,credință
comment,cometariu
apparently,aparent
twice,de două ori
background,fundal
quarter,sfert
review,revizuire
faith,credinţă
move,mutare
speed,viteză
engage,implică
broad,larg
perspective,perspectivă
slightly,puțin
growing,creştere
view,vedere
function,funcţie
construction,constructie
egg,ou
charge,încărca
wave,val
female,Femeie
murder,crimă
tape,bandă
burn,a arde
means,mijloace
aware,conștient
mistake,greşeală
quiet,Liniște
connection,conexiune
shoe,pantof
clothes,haine
promise,promisiune
religion,religie
complete,complet
united,Unit
context,context
active,activ
focus,Concentrați -vă
youth,tineret
location,Locație
neighbor,vecin
dress,rochie
Internet,Internet
category,categorie
dangerous,periculos
extend,extinde
combine,combina
demand,cerere
coast,Coasta
relatively,relativ
smile,zâmbet
bus,autobuz
hey,Hei
chief,şef
following,ca urmare a
depend,depinde
key,cheie
hell,iad
visit,vizita
bone,os
cook,bucătar
fire,foc
direct,direct
native,nativ
cool,rece
cut,a tăia
remind,reaminti
historical,istoric
moral,morală
voter,alegător
appropriate,adecvat
famous,faimos
hire,închiriere
victory,victorie
contact,a lua legatura
fully,in totalitate
negative,negativ
medicine,medicament
participate,participa
grade,grad
eastern,est
supply,livra
yesterday,ieri
familiar,familiar
democracy,democraţie
pair,pereche
drive,conduce
healthy,sănătos
front,față
tie,cravată
birth,naștere
progress,progres
damage,deteriora
exchange,schimb valutar
bottom,partea de jos
daily,zilnic
next,Următorul
document,document
grand,mare
journal,jurnal
knee,genunchi
primary,primar
otherwise,in caz contrar
train,tren
grab,apuca
circle,cerc
lean,a se sprijini
wine,vin
minority,minoritate
flower,floare
device,dispozitiv
Iraqi,Irak
plate,farfurie
attack,atac
clean,curat
alive,în viaţă
actor,actor
hate,ură
expression,expresie
below,de mai jos
bright,luminos
press,presa
tour,tur
finding,găsire
exercise,exercițiu
plastic,plastic
danger,Pericol
neck,gât
valley,vale
academic,academic
start,start
application,aplicație
intend,intenționează
male,masculin
tall,înalt
shut,închis
lots,multe
Indian,indian
respect,respect
colleague,coleg
writing,scris
rain,ploaie
fast,rapid
football,fotbal
welcome,Bine ati venit
domestic,intern
pool,bazin
literature,literatură
extra,suplimentar
northern,de Nord
desire,dorință
direct,direct
fight,luptă
corporate,corporativă
session,sesiune
supreme,suprem
studio,studio
Russian,Rusă
nod,da din cap
learning,învăţare
